Categories,year,flesch_kincaid_Mean,smog_Mean,length_Mean,total,flesch_kincaid_Count,flesch_kincaid_Sum,flesch_kincaid_Max,flesch_kincaid_Min,smog_Count,smog_Sum,smog_Max,smog_Min,length_Count,length_Sum,,length_Max,length_Min,ChildCount,Count_Parental,Count_Guardian,Count_Child,Count_Underage,Count_Kid,Count_Young,Count_Youth,Count_Under1,Count_Under_1,Count_Ageof1
education;religion,2000,12.47588062,14.6921698,5266,14,10,124.7588062,15.18455743,9.688725937,5,73.46084901,16.44523258,12.6883529,14,73724,FALSE,15660,773,6,7,0,29,0,2,2,0,0,3,0
education;religion,2001,12.37894218,14.27726256,5432.136364,22,18,222.8209593,14.78320106,8.196625369,9,128.4953631,16.44523258,11.00357732,22,119507,FALSE,15848,773,8,7,0,30,0,0,2,0,0,5,0
education;religion,2002,11.95739298,13.95289964,5616.586207,29,26,310.8922174,14.5829725,8.196625369,15,209.2934946,16.48601716,11.00357732,29,162881,FALSE,15848,773,14,16,3,62,0,1,3,0,0,8,1
education;religion,2003,11.89368657,14.12868494,5249.545455,33,31,368.7042837,14.66833046,8.196625369,18,254.3163289,16.48601716,11.00357732,33,173235,TRUE,15308,752,16,25,2,69,0,0,2,0,0,5,2
education;religion,2004,12.03350929,14.42833031,5678,41,39,469.3068624,15.09264342,7.869681994,22,317.4232669,16.48601716,11.34169021,41,232798,FALSE,15308,752,17,4,2,43,0,0,5,0,0,7,2
education;religion,2005,11.97901999,14.41033253,6234.822222,45,44,527.0768795,15.09264342,7.869681994,26,374.6686458,16.48601716,10.50422373,45,280567,FALSE,17977,752,20,8,9,62,0,3,4,0,0,12,14
education;religion,2006,12.19719541,14.51470645,6537.6,60,58,707.4373339,15.26566499,7.869681994,38,551.5588452,16.96605863,10.50422373,60,392256,FALSE,18189,752,27,8,11,81,0,3,4,0,0,20,16
education;religion,2007,12.63292972,14.81313576,8392.842105,57,56,707.4440642,16.44462385,8.364685446,44,651.7779733,16.96605863,11.60247206,57,478392,FALSE,19307,752,29,32,10,135,0,2,1,0,0,15,29
education;religion,2008,12.35217071,14.59437932,7649.982143,56,54,667.0172185,15.29055951,8.364685446,44,642.15269,16.96605863,11.60247206,56,428399,FALSE,19777,752,27,23,9,124,0,2,0,0,0,16,22
education;religion,2009,12.36172332,14.59719495,7246.981818,55,52,642.8096124,16.44462385,8.266442735,38,554.6934083,16.96605863,11.4731,55,398584,TRUE,21017,528,21,23,6,105,0,1,0,0,0,15,16
education;religion,2010,12.34620947,14.80698514,6933.16,75,73,901.273291,17.62198984,8.108571429,50,740.3492569,18.49344942,11.66642294,75,519987,TRUE,20896,1350,29,13,14,128,0,4,0,0,0,15,23
education;religion,2011,12.14805023,14.67529715,6280.019802,101,99,1202.656973,17.63921612,8.108571429,59,865.8425321,18.49344942,11.53803483,101,634282,TRUE,20895,752,38,24,19,180,0,4,0,0,0,18,22
education;religion,2012,12.1102988,14.71065847,7348.93913,115,113,1368.463765,15.67533626,6.069379845,75,1103.299386,17.98956254,9.642632912,115,845128,FALSE,38313,752,48,41,24,261,0,4,6,0,0,18,50
education;religion,2013,12.28878504,14.76604249,7284.627737,137,133,1634.408411,15.63195391,6.069379845,92,1358.475909,18.35118386,9.642632912,137,997994,FALSE,25234,752,58,34,35,290,0,4,10,0,0,20,59
education;religion,2014,12.46464295,14.81917956,8096.321918,146,143,1782.443942,15.63195391,6.069379845,101,1496.737136,18.35118386,9.642632912,146,1182063,FALSE,35301,752,62,28,35,291,0,4,13,0,0,25,62
education;religion,2015,12.54396935,14.85349179,8352.695652,161,158,1981.947157,15.63195391,6.069379845,107,1589.323622,18.35118386,9.642632912,161,1344784,FALSE,35301,1206,68,29,29,315,0,6,9,0,0,21,74
education;religion,2016,12.64387696,14.89967311,8764.150602,166,164,2073.595821,15.88566761,6.390732026,108,1609.164696,18.35118386,9.80755858,166,1454849,FALSE,35209,793,71,35,33,332,0,4,13,0,0,42,84
education;religion,2017,12.82296517,15.01488785,9238.214286,154,152,1949.090706,15.88566761,6.390732026,103,1546.533448,18.35118386,9.80755858,154,1422685,FALSE,35209,752,68,36,28,348,0,3,8,2,0,42,78
education;religion,2018,12.98830927,15.09204222,12166.60294,136,134,1740.433442,18.93781879,6.390732026,101,1524.296264,17.98956254,9.80755858,136,1654658,FALSE,43194,752,66,28,51,284,0,6,6,0,0,57,94
education;religion,2019,13.03896323,15.13677588,12238.82099,162,161,2099.27308,18.93781879,6.390732026,118,1786.139554,17.98956254,9.80755858,162,1982689,FALSE,43587,793,82,37,60,362,0,53,10,1,0,54,121
education;searchenginesandportals,2001,13.91582702,15.42588865,5112,1,1,13.91582702,13.91582702,13.91582702,1,15.42588865,15.42588865,15.42588865,1,5112,TRUE,5112,5112,0,0,0,0,0,0,0,0,0,0,0
education;searchenginesandportals,2003,13.53874957,15.64502455,10948.5,2,2,27.07749914,13.57944966,13.49804948,2,31.2900491,15.68848315,15.60156596,2,21897,FALSE,11006,10891,0,0,0,0,0,0,0,0,0,0,0
education;searchenginesandportals,2004,14.9758912,16.56721497,8324,2,2,29.95178239,15.7112931,14.24048929,1,16.56721497,16.56721497,16.56721497,2,16648,FALSE,15597,1051,0,0,0,0,0,0,0,0,0,0,0
education;searchenginesandportals,2005,14.39098592,15.29246565,3113.5,2,2,28.78197184,15.7112931,13.07067873,1,15.29246565,15.29246565,15.29246565,2,6227,TRUE,5176,1051,0,0,0,0,0,0,0,0,0,0,0
education;searchenginesandportals,2006,12.61089,15.42580909,8607.666667,3,3,37.83267,13.19188167,12.1822856,2,30.85161818,15.47004243,15.38157575,3,25823,FALSE,17098,3131,1,0,0,4,0,0,0,0,0,0,2
education;searchenginesandportals,2007,11.77279215,14.81753737,13370.33333,3,3,35.31837644,12.9347969,9.951617531,3,44.4526121,15.73171695,13.2950065,3,40111,FALSE,17077,10177,3,0,0,12,0,0,0,0,0,2,6
education;searchenginesandportals,2008,13.03437917,15.68079613,13005.33333,3,3,39.10313751,13.82235669,12.21670374,3,47.04238838,16.56721497,14.74345646,3,39016,FALSE,14193,11542,3,0,0,14,0,0,0,0,0,0,7
education;searchenginesandportals,2009,12.26231576,14.77391112,10520.66667,3,3,36.78694729,13.73599351,11.38869004,3,44.32173335,16.48601716,13.86744224,3,31562,TRUE,11546,9952,3,0,0,10,0,0,0,0,0,0,7
education;searchenginesandportals,2010,13.01984733,15.5385182,8756.375,8,8,104.1587786,14.64972917,12.00698718,6,93.23110922,16.0302975,15.11225768,8,70051,TRUE,14378,3273,4,1,0,9,0,0,0,0,0,4,7
education;searchenginesandportals,2011,13.30488808,15.53486556,8751.7,10,10,133.0488808,14.64972917,12.21081664,8,124.2789245,15.68848315,15.11225768,10,87517,TRUE,14865,3399,4,2,0,6,0,0,0,0,0,8,6
education;searchenginesandportals,2012,12.82101338,15.22053827,9588.5,8,8,102.5681071,14.20668128,10.36488375,8,121.7643062,16.07238961,12.04049591,8,76708,FALSE,15552,6226,4,2,0,6,0,0,0,0,0,8,6
education;searchenginesandportals,2013,12.48870713,14.84940658,8713.555556,9,9,112.3983641,14.20668128,10.1159083,9,133.6446593,16.07238961,11.79290869,9,78422,TRUE,15552,6272,4,2,0,6,0,0,0,0,0,8,6
education;searchenginesandportals,2014,12.53710243,15.02471216,8734.111111,9,9,112.8339219,14.3135443,10.1159083,9,135.2224094,16.76809479,11.91757421,9,78607,FALSE,15533,6475,4,2,0,6,0,0,0,0,0,8,6
education;searchenginesandportals,2015,12.93375303,15.4580642,8740.555556,9,9,116.4037773,14.3135443,10.1435482,9,139.1225778,16.76809479,11.97924847,9,78665,FALSE,15533,6475,4,2,0,6,0,0,0,0,0,8,6
education;searchenginesandportals,2016,13.14883839,15.71715043,8688,7,7,92.04186871,14.3135443,12.66970092,7,110.020053,16.76809479,15.20269789,7,60816,TRUE,15533,6544,3,1,0,6,0,0,0,0,0,4,6
education;searchenginesandportals,2017,12.94148116,15.15296622,7869,4,4,51.76592463,13.63416534,12.66012883,3,45.45889867,15.55787943,14.74345646,4,31476,TRUE,11126,2621,2,0,0,6,0,0,0,0,0,0,6
education;searchenginesandportals,2018,12.73215827,14.99715437,11246.5,2,2,25.46431654,12.77719483,12.68712172,2,29.99430875,15.15756279,14.83674596,2,22493,FALSE,11368,11125,2,0,0,6,0,0,0,0,0,0,6
education;shopping,1998,13.58425532,,2657,1,1,13.58425532,13.58425532,13.58425532,0,,,,1,2657,TRUE,2657,2657,0,0,0,0,0,0,0,0,0,0,0
education;shopping,1999,11.43832758,,1391.5,2,2,22.87665517,11.79212885,11.08452632,0,,,,2,2783,TRUE,2128,655,1,0,1,0,0,0,0,0,0,0,0
education;shopping,2000,11.56043806,13.60315323,4612.625,8,8,92.48350445,13.85385527,9.417784731,4,54.41261291,15.6451,11.60247206,8,36901,FALSE,10365,655,5,1,3,19,0,0,0,0,0,3,0
education;shopping,2001,12.52945739,13.71806473,4858,15,15,187.9418609,17.75216535,9.417784731,9,123.4625825,16.0302975,11.60247206,15,72870,FALSE,9420,655,6,2,3,18,0,0,0,0,0,4,0
education;shopping,2002,12.19784769,13.71743976,5148.947368,19,19,231.7591061,17.75216535,9.417784731,11,150.8918374,15.90318901,11.60247206,19,97830,FALSE,13482,655,4,2,0,20,0,0,1,0,0,4,0
education;shopping,2003,12.53167391,14.34359564,5365.041667,24,24,300.7601738,17.75216535,9.464551841,13,186.4667433,16.28082958,12.85755635,24,128761,FALSE,13482,655,6,2,7,18,0,0,3,0,0,15,1
education;shopping,2004,12.58065441,14.58774514,5871.6875,32,31,390.0002869,17.75216535,10.36467433,20,291.7549029,16.60763045,12.85755635,32,187894,FALSE,12396,655,13,2,9,71,0,0,2,0,0,17,6
education;shopping,2005,12.02214478,14.41649842,5979.902439,41,39,468.8636463,14.0427489,9.73384058,22,317.1629652,16.60763045,12.85755635,41,245176,FALSE,18749,659,15,8,13,103,0,2,4,0,0,8,9
education;shopping,2006,12.40070579,14.59357452,6210.333333,60,56,694.4395244,17.75216535,9.722666667,29,423.213661,17.31543374,12.5738667,60,372620,FALSE,18749,659,23,8,14,106,1,2,9,0,0,17,17
education;shopping,2007,12.3908598,14.40594646,5864.455696,79,76,941.705345,17.7961178,8.606764228,40,576.2378584,17.31543374,12.10132525,79,463292,TRUE,18763,809,32,20,13,140,0,1,9,0,0,31,20
education;shopping,2008,12.45119004,14.55049199,6147.045045,111,108,1344.728524,18.03304531,7.28142246,59,858.4790273,18.6344097,9.888512548,111,682322,FALSE,18621,809,49,21,18,226,0,4,14,0,0,54,34
education;shopping,2009,12.35315567,14.58534486,6557.111111,108,106,1309.434501,17.7961178,7.28142246,61,889.7060362,17.91617709,9.888512548,108,708168,FALSE,18004,1235,43,11,10,186,0,6,14,0,0,38,35
education;shopping,2010,12.56382665,14.69422087,6516.095588,136,132,1658.425117,17.7961178,7.293699828,74,1087.372344,17.91617709,9.888512548,136,886189,FALSE,20041,623,48,12,14,196,0,4,11,0,0,39,40
education;shopping,2011,12.50071209,14.82638155,6585.809249,173,167,2087.618918,17.7961178,8.111564912,95,1408.506248,17.91617709,10.93419731,173,1139345,FALSE,26933,532,65,23,25,285,1,10,9,0,0,61,57
education;shopping,2012,12.43588311,14.7941505,7215.278302,212,208,2586.663686,17.75216535,7.740036975,126,1864.062963,17.95291523,10.93419731,212,1529639,FALSE,26933,623,87,25,47,412,0,12,10,0,0,78,92
education;shopping,2013,12.47817253,14.70118304,7478.367965,231,227,2832.545164,17.7961178,7.740036975,146,2146.372723,17.95291523,10.93419731,231,1727503,FALSE,27353,623,97,24,57,359,0,16,14,0,0,81,96
education;shopping,2014,12.58340482,14.78893368,8178.328467,274,269,3384.935897,16.53276517,7.740036975,184,2721.163797,18.20757608,10.93419731,274,2240862,FALSE,32748,623,128,43,96,513,1,23,26,0,0,124,127
education;shopping,2015,12.77282721,15.03963499,8692.136364,286,282,3601.937273,16.48959264,7.759632881,198,2977.847728,19.2534887,11.07235135,286,2485951,FALSE,38295,623,140,55,103,589,2,23,33,0,0,157,138
education;shopping,2016,12.67589525,14.86281878,8489.7,290,288,3650.657833,17.02384129,7.336208961,193,2868.524025,19.2534887,9.12067884,290,2462013,FALSE,38362,654,138,56,93,566,1,20,34,0,0,147,129
education;shopping,2017,12.68515831,14.90569646,8692.958333,264,260,3298.14116,16.66163649,7.336208961,168,2504.157006,19.97928068,9.12067884,264,2294941,FALSE,39452,1310,127,52,91,527,2,18,29,0,0,128,130
education;shopping,2018,12.79318015,14.91698251,11624.59804,204,202,2584.222389,17.34676302,6.063707567,144,2148.045482,19.97928068,9.12067884,204,2371418,FALSE,57640,1310,119,43,91,604,3,17,15,1,0,125,124
education;shopping,2019,12.80571825,14.80577667,12396.87736,212,209,2676.395113,16.97362852,6.063707567,155,2294.895384,19.97928068,9.80755858,212,2628138,FALSE,57640,1310,120,43,91,599,4,15,18,0,0,90,138
education;shopping;sports,2009,15.09154857,15.4621112,12526.5,2,2,30.18309714,16.62382748,13.55926966,2,30.9242224,16.3221224,14.6021,2,25053,FALSE,17456,7597,2,4,4,20,0,0,1,0,0,1,2
education;shopping;sports,2010,16.62382748,16.3221224,7597,1,1,16.62382748,16.62382748,16.62382748,1,16.3221224,16.3221224,16.3221224,1,7597,TRUE,7597,7597,1,0,0,1,0,0,1,0,0,0,1
education;shopping;travel,2008,14.29159178,16.78730909,6230,3,3,42.87477535,15.67714286,11.86442577,2,33.57461818,16.92669309,16.6479251,3,18690,TRUE,8019,2678,1,0,0,8,0,0,0,0,0,0,2
education;shopping;travel,2009,12.38474212,13.81666965,3085.75,4,4,49.53896848,13.72259494,11.86442577,1,13.81666965,13.81666965,13.81666965,4,12343,TRUE,5793,1194,3,0,0,16,0,0,1,0,0,2,4
education;shopping;travel,2010,12.54069598,14.21634208,3867.857143,7,7,87.78487189,13.72259494,11.86442577,2,28.43268417,14.21634208,14.21634208,7,27075,FALSE,5891,1194,6,0,0,16,0,0,2,0,0,6,6
education;shopping;travel,2011,11.52288322,,2715.428571,7,7,80.66018253,13.72259494,7.927130503,0,,,,7,19008,TRUE,4450,1169,3,0,0,8,0,0,0,0,0,2,4
education;shopping;travel,2012,11.92500441,13.66288365,3167.571429,7,7,83.4750309,13.42386076,7.90008547,2,27.3257673,13.66288365,13.66288365,7,22173,FALSE,4339,1169,4,0,0,4,0,0,0,0,0,4,2
education;shopping;travel,2013,11.41447054,14.61748163,4288.428571,7,7,79.9012938,14.90038839,7.90008547,3,43.85244488,16.52667758,13.66288365,7,30019,FALSE,13871,1169,3,0,1,6,0,0,0,0,0,3,0
education;shopping;travel,2014,13.00145955,15.21515381,6604.818182,11,11,143.016055,16.22143401,7.90008547,8,121.7212305,16.80791676,13.5591,11,72653,FALSE,13871,1169,4,0,2,8,0,0,0,0,0,4,0
education;shopping;travel,2015,13.63010591,15.22648188,11756.91667,12,12,163.5612709,16.22143401,11.17650648,10,152.2648188,17.31543374,13.5591,12,141083,FALSE,31730,1169,6,0,2,16,0,0,0,0,0,6,2
education;shopping;travel,2016,13.67685368,15.49859664,13014,14,14,191.4759515,14.84150334,11.17650648,13,201.4817563,16.80791676,13.66288365,14,182196,FALSE,28927,2621,11,2,2,37,0,0,2,0,0,8,4
education;shopping;travel,2017,13.70985489,15.51551421,13833.93333,15,15,205.6478233,14.84150334,11.17650648,14,217.2171989,16.80791676,13.66288365,15,207509,FALSE,28927,3627,11,2,2,32,0,0,0,0,0,9,3
education;shopping;travel,2018,14.19044225,16.22443597,11833.4,10,10,141.9044225,16.22977022,11.01364865,10,162.2443597,18.06258737,13.91797589,10,118334,TRUE,20775,4415,6,1,7,28,0,0,0,0,0,5,5
education;shopping;travel,2019,13.54152943,15.80459833,13275.36364,11,11,148.9568238,16.22977022,11.01364865,10,158.0459833,18.06258737,13.66288365,11,146029,FALSE,52162,3627,6,0,6,20,0,0,0,0,0,6,6
education;shopping;vehicles,2003,13.02391563,,3740,2,2,26.04783125,13.02391563,13.02391563,0,,,,2,7480,TRUE,3740,3740,0,0,0,0,0,0,0,0,0,0,0
education;shopping;vehicles,2004,13.02391563,,3740,1,1,13.02391563,13.02391563,13.02391563,0,,,,1,3740,FALSE,3740,3740,0,0,0,0,0,0,0,0,0,0,0
education;shopping;vehicles,2007,14.27938137,16.36328637,10168,2,2,28.55876274,14.27938137,14.27938137,2,32.72657275,16.36328637,16.36328637,2,20336,FALSE,10168,10168,2,0,0,6,0,0,0,0,0,0,0
education;shopping;vehicles,2008,14.27938137,16.36328637,10168,2,2,28.55876274,14.27938137,14.27938137,2,32.72657275,16.36328637,16.36328637,2,20336,FALSE,10168,10168,2,0,0,6,0,0,0,0,0,0,0
education;shopping;vehicles,2009,14.27938137,16.36328637,10168,2,2,28.55876274,14.27938137,14.27938137,2,32.72657275,16.36328637,16.36328637,2,20336,FALSE,10168,10168,2,0,0,6,0,0,0,0,0,0,0
education;shopping;vehicles,2010,14.27938137,16.36328637,10171,2,2,28.55876274,14.27938137,14.27938137,2,32.72657275,16.36328637,16.36328637,2,20342,FALSE,10171,10171,2,0,0,6,0,0,0,0,0,0,0
education;shopping;vehicles,2011,14.27938137,16.36328637,10189,2,2,28.55876274,14.27938137,14.27938137,2,32.72657275,16.36328637,16.36328637,2,20378,FALSE,10189,10189,2,0,0,8,0,0,0,0,0,0,0
education;shopping;vehicles,2012,14.27938137,16.36328637,10189,2,2,28.55876274,14.27938137,14.27938137,2,32.72657275,16.36328637,16.36328637,2,20378,FALSE,10189,10189,2,0,0,8,0,0,0,0,0,0,0
education;shopping;vehicles,2013,14.27938137,16.36328637,10189,2,2,28.55876274,14.27938137,14.27938137,2,32.72657275,16.36328637,16.36328637,2,20378,FALSE,10189,10189,2,0,0,8,0,0,0,0,0,0,0
education;shopping;vehicles,2014,13.4018539,16.36328637,7979,3,3,40.20556169,14.27938137,11.64679894,2,32.72657275,16.36328637,16.36328637,3,23937,TRUE,10189,3581,2,0,0,8,0,0,0,0,0,0,0
education;shopping;vehicles,2015,14.03518387,17.21293687,7705.333333,6,6,84.21110324,16.17937131,11.64679894,4,68.85174749,18.06258737,16.36328637,6,46232,TRUE,10167,3581,4,0,0,10,0,0,0,0,0,0,0
education;shopping;vehicles,2016,15.22937634,17.21293687,9767.5,4,4,60.91750536,16.17937131,14.27938137,4,68.85174749,18.06258737,16.36328637,4,39070,FALSE,10167,9368,4,0,0,10,0,0,0,0,0,0,0
education;shopping;vehicles,2017,14.56488415,16.43632893,9225.333333,6,6,87.38930491,16.17937131,13.23589978,6,98.61797361,18.06258737,14.88311306,6,55352,FALSE,10167,8141,4,0,0,10,0,0,0,0,0,0,0
education;shopping;vehicles,2018,15.21768331,16.90656081,10797.6,5,5,76.08841656,16.2143928,13.23589978,5,84.53280405,18.06258737,14.88311306,5,53988,FALSE,16944,8141,4,1,0,11,0,0,0,0,0,0,1
education;shopping;weapons,2000,11.18950959,,1634,2,2,22.37901919,11.18950959,11.18950959,0,,,,2,3268,TRUE,1634,1634,0,0,0,0,0,0,0,0,0,0,0
education;shopping;weapons,2002,11.18950959,,1634,2,2,22.37901919,11.18950959,11.18950959,0,,,,2,3268,FALSE,1634,1634,0,0,0,0,0,0,0,0,0,0,0
education;shopping;weapons,2003,11.06273861,,1699,2,2,22.12547722,11.06273861,11.06273861,0,,,,2,3398,FALSE,1699,1699,0,0,0,0,0,0,0,0,0,0,0
education;shopping;weapons,2007,14.53606619,15.38157575,3702,3,3,43.60819856,15.4506281,12.70694236,1,15.38157575,15.38157575,15.38157575,3,11106,FALSE,7675,1709,1,0,0,3,0,0,0,0,0,1,0
education;shopping;weapons,2008,13.62150427,15.38157575,5690.666667,3,3,40.86451282,15.4506281,12.70694236,2,30.7631515,15.38157575,15.38157575,3,17072,FALSE,7675,1722,2,0,0,6,0,0,0,0,0,2,0
education;shopping;weapons,2009,14.02564281,15.38157575,4778,4,4,56.10257124,15.4506281,12.70694236,2,30.7631515,15.38157575,15.38157575,4,19112,FALSE,7675,1722,2,0,0,6,0,0,0,0,0,2,0
education;shopping;weapons,2010,12.9731647,15.38157575,4665.25,4,4,51.89265881,15.23805842,11.24071567,2,30.7631515,15.38157575,15.38157575,4,18661,TRUE,7675,1271,2,0,0,6,0,0,0,0,0,2,0
education;shopping;weapons,2011,12.77507544,15.56587286,5914,7,7,89.42552811,15.67442177,11.24071567,4,62.26349143,16.0302975,15.38157575,7,41398,FALSE,12375,1271,2,0,0,6,0,0,0,0,0,2,0
education;shopping;weapons,2012,13.23040099,15.58720084,6107.333333,9,9,119.0736089,15.67442177,11.24071567,5,77.93600419,16.0302975,15.11225768,9,54966,FALSE,12375,1271,3,0,0,9,0,0,0,0,0,3,1
education;shopping;weapons,2013,13.19977644,15.57500716,6363,10,10,131.9977644,15.51892108,11.24071567,6,93.45004298,16.0302975,15.11225768,10,63630,FALSE,12375,1271,4,0,0,12,0,0,0,0,0,4,2
education;shopping;weapons,2014,13.02212865,15.13630906,6385.166667,12,12,156.2655438,15.51892108,11.24071567,8,121.0904724,16.0302975,14.11778686,12,76622,FALSE,12375,1271,6,0,0,16,0,0,0,0,0,6,4
education;shopping;weapons,2015,12.85288816,14.75661442,8048.727273,11,11,141.3817697,15.51892108,11.24071567,8,118.0529153,16.0302975,13.40145869,11,88536,FALSE,25131,1271,7,1,0,21,0,0,0,0,0,6,9
education;shopping;weapons,2016,12.94285167,14.55600182,7975.857143,14,14,181.1999234,15.51892108,11.24071567,8,116.4480146,15.5140388,13.66288365,14,111662,FALSE,25131,1271,10,2,0,30,0,0,0,0,0,8,16
education;shopping;weapons,2017,12.9926149,14.26043002,9378.375,8,8,103.9409192,15.51892108,11.24071567,5,71.30215009,14.92929796,13.66288365,8,75027,FALSE,25131,1271,5,2,0,18,0,0,0,0,0,3,13
education;shopping;weapons,2018,13.33667491,15.1437791,10050.66667,9,9,120.0300742,15.51892108,10.72015541,8,121.1502328,17.95291523,12.96874232,9,90456,FALSE,16703,2190,8,4,0,27,0,0,0,0,0,10,3
education;shopping;weapons,2019,13.49536757,15.27822942,10485.3,10,10,134.9536757,15.51892108,11.62260918,9,137.5040648,17.4299955,12.96874232,10,104853,FALSE,16696,2190,8,4,0,25,0,0,0,0,0,9,4
education;sports,2000,11.75998001,12.99538046,5865,7,7,82.31986004,13.81471795,11.29619601,4,51.98152182,13.13320456,12.85755635,7,41055,TRUE,8524,865,4,28,0,8,0,0,0,0,0,0,0
education;sports,2001,11.13990419,12.85755635,4876.25,8,8,89.1192335,11.433769,9.752404372,3,38.57266906,12.85755635,12.85755635,8,39010,TRUE,8447,2351,3,21,0,6,0,0,0,0,0,0,0
education;sports,2002,11.44360119,15.13000489,4496,9,9,102.9924107,13.98111773,9.752404372,3,45.39001468,16.28082958,14.55459255,9,40464,TRUE,8124,2372,2,14,0,4,0,0,0,0,0,0,0
education;sports,2003,11.89846856,14.29423588,5174.666667,12,12,142.7816227,13.98111773,8.600431365,6,85.7654153,16.28082958,10.57760985,12,62096,FALSE,9074,2372,2,3,4,9,0,1,0,0,0,4,1
education;sports,2004,12.01284892,14.98231072,7209.954545,22,22,264.2826761,13.98111773,10.68333333,14,209.7523501,16.6479251,13.91797589,22,158619,FALSE,17532,2372,8,7,9,60,0,2,0,0,0,9,1
education;sports,2005,12.19327571,14.13724286,10343.72727,22,22,268.2520657,13.95645295,7.449827238,18,254.4703715,16.6479251,8.548686977,22,227562,FALSE,17022,2731,14,18,4,103,0,1,0,0,0,6,0
education;sports,2006,11.7666998,14.39173293,6923.5,18,18,211.8005965,13.95645295,7.681703994,10,143.9173293,16.6479251,8.841846275,18,124623,TRUE,16928,2372,7,9,0,90,0,0,0,0,0,4,0
education;sports,2007,11.80303901,13.66570852,4912.333333,18,18,212.4547022,15.70608636,8.098204294,8,109.3256682,16.48601716,9.3871,18,88422,TRUE,10567,2372,6,2,0,28,0,0,2,0,0,12,0
education;sports,2008,12.82946818,14.99869173,6669.428571,21,21,269.4188318,16.76294403,10.05735183,13,194.9829925,18.0989662,11.91757421,21,140058,FALSE,18100,2372,7,5,7,48,0,2,1,0,0,7,7
education;sports,2009,13.07520841,15.31580807,9058.892857,28,28,366.1058354,16.76294403,10.62739116,20,306.3161615,18.0989662,12.91330727,28,253649,FALSE,18100,1114,13,18,12,114,0,3,0,0,0,5,7
education;sports,2010,13.30819771,15.95363961,8496.619048,42,42,558.9443037,16.76294403,9.83556338,27,430.7482695,18.42248207,13.91797589,42,356858,FALSE,30387,1114,19,10,23,122,0,6,2,0,0,25,18
education;sports,2011,13.42063304,15.92227616,9011.195122,41,41,550.2459547,16.73263512,10.62739116,28,445.8237326,18.42248207,14.26529262,41,369459,FALSE,30424,1114,21,10,24,136,0,4,2,0,0,27,19
education;sports,2012,13.58067681,15.61669672,10445.58537,41,41,556.807749,16.73263512,10.62739116,31,484.1175983,18.42248207,14.01833969,41,428269,FALSE,30424,1091,24,8,24,164,2,2,2,0,0,38,26
education;sports,2013,13.69989922,15.44352338,10434.30769,52,52,712.3947595,25.95767191,9.827181246,41,633.1844584,22.89112902,12.39948678,52,542584,FALSE,41545,1091,27,8,22,185,2,2,2,0,0,39,30
education;sports,2014,13.33196368,15.08263368,10707.34615,52,52,693.2621113,25.95767191,9.827181246,41,618.387981,22.89112902,12.39948678,52,556782,FALSE,39982,1091,27,12,21,196,2,4,1,0,0,34,32
education;sports,2015,13.25337253,15.1308843,11446.20968,62,62,821.7090967,25.95767191,7.395436304,50,756.5442149,22.89112902,9.80755858,62,709665,FALSE,39982,1122,40,12,33,228,2,2,4,0,0,44,43
education;sports,2016,13.74604354,15.87210274,13444.30986,71,71,975.9690915,25.95767191,9.827181246,59,936.4540618,22.89112902,12.80148409,71,954546,FALSE,40974,1122,44,10,16,260,2,6,5,0,0,59,59
education;sports,2017,13.5748199,15.85147151,14086.43056,72,72,977.3870326,25.94963924,9.827181246,61,966.9397624,22.89112902,12.80148409,72,1014223,FALSE,39989,1122,50,15,17,320,2,12,3,0,0,42,79
education;sports,2018,13.2230714,15.61291179,15116.17391,69,69,912.3919263,16.15168075,10.62739116,58,905.5488837,18.59929004,13.13320456,69,1043016,FALSE,48659,1122,45,15,24,269,2,8,2,0,0,35,64
education;sports,2019,13.10457479,15.3973671,17404.90164,61,61,799.3790621,15.69899522,7.696253598,54,831.4578235,18.42248207,10.50422373,61,1061699,FALSE,45043,1122,40,51,36,418,0,4,4,0,0,42,50
education;streamingmedia,2008,11.2671502,,3893,2,2,22.5343004,11.2671502,11.2671502,0,,,,2,7786,TRUE,3893,3893,0,0,0,0,0,0,0,0,0,0,0
education;streamingmedia,2009,11.2671502,,3893,2,2,22.5343004,11.2671502,11.2671502,0,,,,2,7786,FALSE,3893,3893,0,0,0,0,0,0,0,0,0,0,0
education;streamingmedia,2010,11.2671502,,3893,1,1,11.2671502,11.2671502,11.2671502,0,,,,1,3893,FALSE,3893,3893,0,0,0,0,0,0,0,0,0,0,0
education;streamingmedia,2011,11.38880498,14.00414502,4810,3,3,34.16641495,11.58990527,11.28825484,3,42.01243505,14.7901945,13.61112027,3,14430,FALSE,6398,4016,0,0,0,0,0,0,0,0,0,0,0
education;streamingmedia,2012,11.49517897,14.13026591,4734.5,2,2,22.99035793,11.70210309,11.28825484,2,28.26053181,14.64941154,13.61112027,2,9469,FALSE,5453,4016,0,0,0,0,0,0,0,0,0,0,0
education;streamingmedia,2013,13.15980535,16.11806795,6021,4,4,52.6392214,14.14252976,12.13850092,3,48.35420385,17.04445562,14.26529262,4,24084,FALSE,8699,1977,1,0,0,2,0,0,0,0,0,1,0
education;streamingmedia,2014,12.06096866,13.76565471,2942.666667,3,3,36.18290598,12.13850092,11.90590414,1,13.76565471,13.76565471,13.76565471,3,8828,TRUE,4874,1977,0,0,0,0,0,0,0,0,0,0,0
